elevation,volume_m3,area_ha,volume_tmc
40.700000000000124,66127165.76292605,914.3504106522147,2.335258820154364
40.800000000000125,67041516.17357826,914.3504106522147,2.3675488001732035
40.90000000000013,67955866.58423048,914.3504106522147,2.399838780192043
41.00000000000013,68870216.99488273,943.8998818903103,2.432128760210883
41.10000000000013,69814116.87677309,943.8998818903103,2.4654622699582935
41.20000000000013,70758016.75866339,943.8998818903103,2.4987957797057017
41.30000000000013,71701916.64055371,943.8998818903103,2.532129289453111
41.400000000000134,72645816.52244404,943.8998818903103,2.5654627992005206
41.500000000000135,73589716.40433437,943.8998818903103,2.59879630894793
41.600000000000136,74533616.28622468,943.8998818903103,2.6321298186953386
41.70000000000014,75477516.16811502,943.8998818903103,2.6654633284427485
41.80000000000014,76421416.05000532,943.8998818903103,2.6987968381901566
41.90000000000014,77365315.93189567,943.8998818903103,2.7321303479375674
42.00000000000014,78309215.813786,967.4646500928424,2.7654638576849764
42.10000000000014,79276680.4638789,967.4646500928424,2.799629549367829
42.200000000000145,80244145.11397174,967.4646500928424,2.8337952410506793
42.300000000000146,81211609.76406458,967.4646500928424,2.867960932733529
42.40000000000015,82179074.41415745,967.4646500928424,2.9021266244163804
42.50000000000015,83146539.06425029,967.4646500928424,2.9362923160992307
42.60000000000015,84114003.71434316,967.4646500928424,2.970458007782082
42.70000000000015,85081468.364436,967.4646500928424,3.0046236994649322
42.80000000000015,86048933.01452887,967.4646500928424,3.0387893911477835
42.900000000000155,87016397.66462171,967.4646500928424,3.072955082830634
43.000000000000156,87983862.31471461,989.3462205666222,3.1071207745134863
43.10000000000016,88973208.53528127,989.3462205666222,3.142059206564962
43.20000000000016,89962554.75584787,989.3462205666222,3.176997638616436
43.30000000000016,90951900.97641453,989.3462205666222,3.2119360706679116
43.40000000000016,91941247.19698116,989.3462205666222,3.2468745027193866
43.50000000000016,92930593.41754779,989.3462205666222,3.2818129347708616
43.600000000000165,93919939.63811445,989.3462205666222,3.3167513668223374
43.700000000000166,94909285.85868105,989.3462205666222,3.3516897988738115
43.80000000000017,95898632.07924771,989.3462205666222,3.3866282309252873
43.90000000000017,96887978.29981434,989.3462205666222,3.4215666629767623
44.00000000000017,97877324.520381,1008.5159724774121,3.456505095028238
