water_level,volume_m3,volume_tmc
33.0,0.0,0.0
33.1,499348.6595298522,0.017634331489118808
33.2,998697.3190597044,0.035268662978237615
33.300000000000004,1498045.9785895569,0.05290299446735643
33.400000000000006,1997394.6381194089,0.07053732595647523
33.50000000000001,2496743.2976492615,0.08817165744559406
33.60000000000001,2996091.9571791138,0.10580598893471287
33.70000000000001,3495440.616708966,0.12344032042383167
33.80000000000001,3994789.2762388177,0.14107465191295046
33.90000000000001,4494137.93576867,0.1587089834020693
34.000000000000014,4993486.595298523,0.17634331489118812
34.100000000000016,5496856.227180395,0.19411964567881482
34.20000000000002,6000225.859062267,0.2118959764664415
34.30000000000002,6503595.490944139,0.22967230725406823
34.40000000000002,7006965.12282601,0.2474486380416949
34.50000000000002,7510334.754707881,0.26522496882932156
34.60000000000002,8013704.386589753,0.2830012996169483
34.700000000000024,8517074.018471625,0.300777630404575
34.800000000000026,9020443.650353497,0.3185539611922017
34.90000000000003,9523813.28223537,0.3363302919798284
35.00000000000003,10027182.91411724,0.3541066227674551
35.10000000000003,10533731.919486757,0.3719952320701811
35.20000000000003,11040280.92485627,0.389883841372907
35.30000000000003,11546829.930225786,0.407772450675633
35.400000000000034,12053378.9355953,0.4256610599783589
35.500000000000036,12559927.940964816,0.4435496692810849
35.60000000000004,13066476.94633433,0.4614382785838108
35.70000000000004,13573025.951703845,0.47932688788653677
35.80000000000004,14079574.95707336,0.4972154971892628
35.90000000000004,14586123.962442875,0.5151041064919887
36.00000000000004,15092672.967812393,0.5329927157947147
36.100000000000044,15601653.258790104,0.5509671851383989
36.200000000000045,16110633.549767815,0.568941654482083
36.30000000000005,16619613.840745531,0.5869161238257674
36.40000000000005,17128594.13172324,0.6048905931694515
36.50000000000005,17637574.422700956,0.6228650625131358
36.60000000000005,18146554.713678665,0.6408395318568199
36.70000000000005,18655535.00465638,0.658814001200504
36.800000000000054,19164515.29563409,0.6767884705441883
36.900000000000055,19673495.586611807,0.6947629398878726
37.00000000000006,20182475.87758952,0.7127374092315568
37.10000000000006,20696786.29470828,0.7309001102034957
37.20000000000006,21211096.711827043,0.7490628111754345
37.30000000000006,21725407.12894581,0.7672255121473736
37.40000000000006,22239717.54606457,0.7853882131193124
37.500000000000064,22754027.96318333,0.8035509140912511
37.600000000000065,23268338.380302094,0.8217136150631901
37.70000000000007,23782648.79742085,0.8398763160351287
37.80000000000007,24296959.214539614,0.8580390170070676
37.90000000000007,24811269.63165838,0.8762017179790066
38.00000000000007,25325580.04877714,0.8943644189509454
38.10000000000007,25844472.504157506,0.9126889330769979
38.200000000000074,26363364.95953787,0.9310134472030505
38.300000000000075,26882257.414918233,0.9493379613291028
38.40000000000008,27401149.8702986,0.9676624754551554
38.50000000000008,27920042.32567897,0.985986989581208
38.60000000000008,28438934.781059336,1.0043115037072605
38.70000000000008,28957827.236439697,1.022636017833313
38.80000000000008,29476719.691820063,1.0409605319593653
38.900000000000084,29995612.147200424,1.0592850460854177
39.000000000000085,30514504.6025808,1.0776095602114706
39.10000000000009,31038540.162132353,1.0961157013472425
39.20000000000009,31562575.72168391,1.1146218424830143
39.30000000000009,32086611.28123545,1.133127983618786
39.40000000000009,32610646.84078701,1.151634124754558
39.50000000000009,33134682.400338568,1.1701402658903302
39.600000000000094,33658717.95989011,1.1886464070261016
39.700000000000095,34182753.519441664,1.2071525481618735
39.8000000000001,34706789.078993216,1.2256586892976453
39.9000000000001,35230824.638544776,1.2441648304334174
40.0000000000001,35754860.198096335,1.2626709715691895
40.1000000000001,36285067.482653305,1.2813950651166244
40.2000000000001,36815274.76721029,1.30011915866406
40.300000000000104,37345482.05176726,1.3188432522114948
40.400000000000105,37875689.336324245,1.33756734575893
40.50000000000011,38405896.62088123,1.3562914393063654
40.60000000000011,38936103.9054382,1.3750155328538003
40.70000000000011,39466311.18999517,1.3937396264012352
40.80000000000011,39996518.474552155,1.4124637199486705
40.90000000000011,40526725.75910915,1.4311878134961062
41.000000000000114,41056933.043666124,1.4499119070435413
41.100000000000115,41593499.07519838,1.4688605576211748
41.20000000000012,42130065.106730655,1.4878092081988088
41.30000000000012,42666631.13826293,1.5067578587764427
41.40000000000012,43203197.16979517,1.5257065093540756
41.50000000000012,43739763.201327436,1.5446551599317093
41.60000000000012,44276329.23285971,1.5636038105093433
41.700000000000124,44812895.26439198,1.5825524610869772
41.800000000000125,45349461.29592424,1.6015011116646105
41.90000000000013,45886027.32745648,1.6204497622422434
42.00000000000013,46422593.35898877,1.639398412819878
42.10000000000013,46963928.45075251,1.658515481170161
42.20000000000013,47505263.54251623,1.6776325495204432
42.30000000000013,48046598.63427995,1.6967496178707253
42.400000000000134,48587933.72604369,1.7158666862210084
42.500000000000135,49129268.81780742,1.7349837545712907
42.600000000000136,49670603.90957115,1.7541008229215733
42.70000000000014,50211939.00133487,1.7732178912718555
42.80000000000014,50753274.0930986,1.7923349596221383
42.90000000000014,51294609.184862345,1.8114520279724213
43.00000000000014,51835944.27662607,1.8305690963227037
43.10000000000014,52381674.38468153,1.8498413732085641
43.200000000000145,52927404.49273701,1.8691136500944254
43.300000000000146,53473134.6007925,1.888385926980287
43.40000000000015,54018864.70884796,1.9076582038661476
43.50000000000015,54564594.81690342,1.926930480752008
43.60000000000015,55110324.9249589,1.9462027576378693
43.70000000000015,55656055.03301438,1.9654750345237304
43.80000000000015,56201785.14106985,1.9847473114095915
43.900000000000155,56747515.24912531,2.004019588295452
44.000000000000156,57293245.35718079,2.023291865181313
44.10000000000016,57844025.058422536,2.0427424667676264
